Paper no;Paper name;Venue;Year;Abstract
29;MUCE: a multilingual use case model extractor using GPT-3;IJIT;2022;"During the software requirement specification,
the use case-based approach is used for requirements
elicitation and analysis, for object-oriented software
development. For identifying the use cases, traditionally,
manual approach is used. Though some researchers have
used semi-automated NLP techniques but it requires each
word in a sentence to be tagged with its part-of-speech. In
this paper, we exploit Generative Pre-trained Transformer-
3 (GPT-3) for identifying the use case model by parsing the
given software requirements. GPT-3 is an autoregressive
language model that uses deep learning to produce humanlike
text. It is a language prediction model that can be tuned
with Few-Shot learning to extract functional requirements
in a multilingual setting. We present MUCE, a Multilingual
Use Case model Extractor tool for the extraction of use
cases, actors and their relationships from the given users’
software requirements. Further, not all requirement documents
are English-centric and might be written in some
native language. In such scenario, an automated, multilingual
tool for structuring the use case model will really be a
boon. The benefit of such an automated tool is that it helps
in extracting use cases model as requirements specification
quickly; overcoming the worries involved in manual ways.
This tool can also prove to be a feedback to improve and
fine-tune functional requirements so as to make them more
complete. We evaluated the performance of our tool using
Confusion Matrix. We authenticate our findings by validating
various user requirements case studies written in
different languages particularly, English, Spanish and
French. Our tool performs better than existing state-of-theart
use case model extraction techniques. Our research
endeavor will assist software designers and architects to
generate actors and use cases instantaneously from the
given users’ software requirement documents, and save
their time."
30;"An Automated Model of Software Requirement
Engineering Using GPT-3.5";ICETSIS;2024;While the potential of AI in software development is undeniable, integrating advanced models like GPT-3.5 into its core processes like requirements engineering remains largely unexplored. This research investigates the effectiveness of GPT-3.5 in automating key tasks within software requirements engineering. The primary objective is to comprehensively explore the capabilities, limitations, and potential applications of GPT-3.5 in software requirements engineering. Subsequently, the research undergoes thorough analysis and evaluation to gather insights into the strengths and limitations of GPT-3.5 in the requirement-gathering process. The research concludes by identifying the limitations and putting forth recommendations for future research endeavours aimed at integrating GPT-3.5 into software requirement engineering processes. While GPT-3.5 demonstrates proficiency in aspects like creative prototyping and question generation, limitations in areas like domain understanding and context awareness become evident. By outlining these limitations, the authors offer concrete recommendations for future research focusing on the seamless integration of GPT-3.5 and similar models into the broader framework of software requirements engineering.
31;"Exploring Requirements Elicitation from App Store
User Reviews Using Large Language Models";Arxiv;2024;"Mobile applications have become indispensable companions
in our daily lives. Spanning over the categories from
communication and entertainment to healthcare and finance,
these applications have been influential in every aspect. Despite
their omnipresence, developing apps that meet user needs and
expectations still remains a challenge. Traditional requirements
elicitation methods like user interviews can be time-consuming
and suffer from limited scope and subjectivity. This research
introduces an approach leveraging the power of Large Language
Models (LLMs) to analyze user reviews for automated
requirements elicitation. We fine-tuned three well-established
LLMs BERT, DistilBERT, and GEMMA, on a dataset of app
reviews labeled for usefulness. Our evaluation revealed BERT’s
superior performance, achieving an accuracy of 92.40% and an
F1-score of 92.39%, demonstrating its effectiveness in accurately
classifying useful reviews. While GEMMA displayed a lower
overall performance, it excelled in recall (93.39%), indicating
its potential for capturing a comprehensive set of valuable user
insights. These findings suggest that LLMs offer a promising
avenue for streamlining requirements elicitation in mobile app
development, leading to the creation of more user-centric and
successful applications."
32;"Empirical Evaluation of ChatGPT on Requirements
Information Retrieval Under Zero-Shot Setting";Arxiv;2023;"Recently, various illustrative examples have shown the impressive
ability of generative large language models (LLMs)
to perform NLP related tasks. ChatGPT undoubtedly is the
most representative model. We empirically evaluate Chat-
GPT’s performance on requirements information retrieval
(IR) tasks to derive insights into designing or developing
more e!ective requirements retrievalmethods or tools based
on generative LLMs. We design an evaluation framework
considering four di!erent combinations of two popular IR
tasks and two common artifact types. Under zero-shot setting,
evaluation results reveal ChatGPT’s promising ability
to retrieve requirements relevant information (high recall)
and limited ability to retrieve more specific requirements
information (low precision). Our evaluation of ChatGPT on
requirements IR under zero-shot setting provides preliminary
evidence for designing or developing more e!ective
requirements IR methods or tools based on LLMs."
33;"Towards the LLM-Based Generation of Formal
Specifications from Natural-Language Contracts:
Early Experiments with SYMBOLEO";Arxiv;2024;"Over the past decade, different domain-specific languages
(DSLs) were proposed to formally specify requirements
stated in legal contracts, mainly for analysis but also for code
generation. SYMBOLEO is a promising language in that area.
However, writing formal specifications from natural-language
contracts is a complex task, especial for legal experts who do
not have formal language expertise. This paper reports on an
exploratory experiment targeting the automated generation of
SYMBOLEO specifications from business contracts in English
using Large Language Models (LLMs). Combinations (38) of
prompt components are investigated (with/without the grammar,
semantics explanations, 0 to 3 examples, and emotional prompts),
mainly on GPT-4o but also to a lesser extent on 4 other LLMs.
The generated specifications are manually assessed against 16
error types grouped into 3 severity levels. Early results on all
LLMs show promising outcomes (even for a little-known DSL)
that will likely accelerate the specification of legal contracts. However,
several observed issues, especially around grammar/syntax
adherence and environment variable identification (49%), suggest
many areas where potential improvements should be investigated."
34;"Large Language Models for Software Engineering:
A Systematic Literature Review";SEM;2024;"Large Language Models (LLMs) have significantly impacted numerous domains, including Software Engineering
(SE). Many recent publications have explored LLMs applied to various SE tasks. Nevertheless, a
comprehensive understanding of the application, effects, and possible limitations of LLMs on SE is still in
its early stages. To bridge this gap, we conducted a Systematic Literature Review (SLR) on LLM4SE, with
a particular focus on understanding how LLMs can be exploited to optimize processes and outcomes. We
selected and analyzed 395 research articles from January 2017 to January 2024 to answer four key Research
Questions (RQs). In RQ1, we categorize different LLMs that have been employed in SE tasks, characterizing
their distinctive features and uses. In RQ2, we analyze the methods used in data collection, pre-processing and application, highlighting the role of well-curated datasets for successful LLM for SE implementation.
RQ3 investigates the strategies employed to optimize and evaluate the performance of LLMs in SE. Finally,
RQ4 examines the specific SE tasks where LLMs have shown success to date, illustrating their practical
contributions to the field. From the answers to these RQs, we discuss the current state-of-the-art and trends,
identifying gaps in existing research, and highlighting promising areas for future study."
35;"Refactoring goal-oriented models: a linguistic improvement using
large language models";Softw Syst Model;2025;"Goal-oriented requirements engineering (GORE) facilitates effective communication and collaboration between stakeholders.
Using goal models, GORE provides a structured approach to elicit, analyze, and manage requirements from the perspective
of stakeholders’ goals and intentions. However, goal models are prone to several poor practices, called bad smells, which can
obstruct effective communication between stakeholders. As a result, there might be misinterpretations and inconsistencies
in the requirements. Goal models are particularly prone to linguistic bad smells, encompassing unclear or ambiguous goal
statements, conflicting or contradictory requirements, and occurrences of misspellings. It is therefore imperative that linguistic
bad smells are identified and addressed in goal models to ensure their quality and accuracy. In this paper, we build upon our
previous research by enhancing the catalog of 17 goal-oriented requirements language (GRL) linguistic bad smells. We refine
the detection techniques using a combination of NLP-based and LLM-based techniques. These enhancements significantly
improved the tool’s detection capabilities compared to our previous work. Furthermore, we offer automated refactoring
solutions for 9 of these bad smells through GPT prompts. The remaining four identified bad smells are left to the user’s
discretion for refactoring, due to their subjective nature. The detection and refactoring processes are implemented in a tool,
tailored to the Textual GRL (TGRL) language. We evaluated the bad smells refactoring approach and tool by administering a
questionnaire to 13 participants, who assessed the correctness of the refactoring of 71 linguistic bad smells found in four (4)
TGRL models. Participants perceived the refactored sentences as highly correct across the different types of linguistic bad
smells."
36;"NL2CTL: Automatic Generation
of Formal Requirements Specifications
via Large Language Models";ICFEM;2024;"Reducing the gap between natural language requirements
and precise formal specifications is a critical task in requirements engi-
neering. In recent years, requirement engineering is becoming increas-
ingly complex alongside the growing intricacy of system engineering.
Most requirements are expressed in natural language, which can be
incomplete and ambiguous. However, formal languages with strict seman-
tics can accurately represent certain temporal logic properties and allow
for automated verification and analysis. This often limits the application
of verification techniques, as writing formal specifications is a manual,
error-prone, and time-consuming task. To address this, this paper pro-
poses a framework that leverages Large Language Models (LLMs) to
achieve automated conversion of natural language requirements to Com-
putation Tree Logic (CTL). To address the issue of dataset scarcity,
we leveraged the interactive and generative capabilities of LLMs. By
constructing a random generation algorithm and utilizing prompt engi-
neering, we generated an NL-CTL dataset using LLMs. The gener-
ated dataset was then used to fine-tune the T5-Large model, enhancing
its generative capacity. To improve generalization, this paper proposes
the use of the GPT-3.5 Atomic Proposition (AP) Recognition method,
which eliminates the constraints of using the framework across diﬀer-
ent domains. A series of experimental evaluations showed that the fine-
tuned LLM achieved an accuracy of 46.4%, whereas the LLM with few-
shot learning using only prompt engineering achieved only 2% accuracy,
demonstrating the feasibility of this approach."
37;"A novel automated framework for fine-grained sentiment
analysis of application reviews using deep neural networks";ASE;2024;"The substantial volume of user feedback contained in application reviews signifi-
cantly contributes to the development of human-centred software requirement engi-
neering. The abundance of unstructured text data necessitates an automated ana-
lytical framework for decision-making. Language models can automatically extract
fine-grained aspect-based sentiment information from application reviews. Exist-
ing approaches are constructed based on the general domain corpus, and are chal-
lenging to elucidate the internal technique of the recognition process, along with
the factors contributing to the analysis results. To fully utilize software engineer-
ing domain-specific knowledge and accurately identify aspect-sentiment pairs from
application reviews, we design a dependency-enhanced heterogeneous graph neural
networks architecture based on the dual-level attention mechanism. The heterogene-
ous information network with knowledge resources from the software engineering
field is embedded into graph convolutional networks to consider the attribute char-
acteristics of diﬀerent node types. The relationship between aspect terms and senti-
ment terms in application reviews is determined by adjusting the dual-level attention
mechanism. Semantic dependency enhancement is introduced to comprehensively
model contextual relationships and analyze sentence structure, thereby distinguish-
ing important contextual information. To our knowledge, this marks initial eﬀorts to
leverage software engineering domain knowledge resources to deep neural networks
to address fine-grained sentiment analysis issues. The experimental results on multi-
ple public benchmark datasets indicate the eﬀectiveness of the proposed automated
framework in aspect-based sentiment analysis tasks for application reviews."
38;"A Multi-solution Study on GDPR AI-enabled Completeness
Checking of DPAs";ESE;2024;"Specifying legal requirements for software systems to ensure their compliance with the
applicable regulations is a major concern of requirements engineering. Personal data which
is collected by an organization is often shared with other organizations to perform certain
processing activities. In such cases, the General Data Protection Regulation (GDPR) requires
issuing a data processing agreement (DPA) which regulates the processing and further ensures
that personal data remains protected. Violating GDPR can lead to huge fines reaching to bil-
lions of Euros. Software systems involving personal data processing must adhere to the legal
obligations stipulated both at a general level in GDPR as well as the obligations outlined
in DPAs highlighting specific business. In other words, a DPA is yet another source from
which requirements engineers can elicit legal requirements. However, the DPA must be com-
plete according to GDPR to ensure that the elicited requirements cover the complete set of
obligations. Therefore, checking the completeness of DPAs is a prerequisite step towards
developing a compliant system. Analyzing DPAs with respect to GDPR entirely manually is
time consuming and requires adequate legal expertise. In this paper, we propose an automa-
tion strategy that addresses the completeness checking of DPAs against GDPR provisions
as a text classification problem. Specifically, we pursue ten alternative solutions which are
enabled by different technologies, namely traditional machine learning, deep learning, lan-
guage modeling, and few-shot learning. The goal of our work is to empirically examine how
these different technologies fare in the legal domain. We computed F2 score on a set of 30
real DPAs. Our evaluation shows that best-performing solutions yield F2 score of 86.7% and
89.7% are based on pre-trained BERT and RoBERTa language models. Our analysis further
shows that other alternative solutions based on deep learning (e.g., BiLSTM) and few-shot
learning (e.g., SetFit) can achieve comparable accuracy, yet are more efficient to develop."
39;"Automated requirement contradiction detection
through formal logic and LLMs";ASE;2024;"This paper introduces ALICE (Automated Logic for Identifying Contradictions in
Engineering), a novel automated contradiction detection system tailored for formal
requirements expressed in controlled natural language. By integrating formal logic
with advanced large language models (LLMs), ALICE represents a significant leap
forward in identifying and classifying contradictions within requirements docu-
ments. Our methodology, grounded on an expanded taxonomy of contradictions,
employs a decision tree model addressing seven critical questions to ascertain the
presence and type of contradictions. A pivotal achievement of our research is dem-
onstrated through a comparative study, where ALICE’s performance markedly sur-
passes that of an LLM-only approach by detecting 60% of all contradictions. ALICE
achieves a higher accuracy and recall rate, showcasing its eﬃcacy in processing
real-world, complex requirement datasets. Furthermore, the successful application
of ALICE to real-world datasets validates its practical applicability and scalability.
This work not only advances the automated detection of contradictions in formal
requirements but also sets a precedent for the application of AI in enhancing reason-
ing systems within product development. We advocate for ALICE’s scalability and
adaptability, presenting it as a cornerstone for future endeavors in model customiza-
tion and dataset labeling, thereby contributing a substantial foundation to require-
ments engineering."
40;"Using Language Models for Enhancing
the Completeness of Natural-Language
Requirements";REFSQ;2024;"[Context and motivation] Incompleteness in natural-
language requirements is a challenging problem. [Question/problem] A
common technique for detecting incompleteness in requirements is check-
ing the requirements against external sources. With the emergence of lan-
guage models such as BERT, an interesting question is whether language
models are useful external sources for finding potential incompleteness
in requirements. [Principal ideas/results] We mask words in require-
ments and have BERT’s masked language model (MLM) generate con-
textualized predictions for filling the masked slots. We simulate incom-
pleteness by withholding content from requirements and measure BERT’s
ability to predict terminology that is present in the withheld content but
absent in the content disclosed to BERT. [Contribution] BERT can be
configured to generate multiple predictions per mask. Our first contribu-
tion is to determine how many predictions per mask is an optimal trade-
oﬀ between eﬀectively discovering omissions in requirements and the level
of noise in the predictions. Our second contribution is devising a machine
learning-based filter that post-processes predictions made by BERT to fur-
ther reduce noise. We empirically evaluate our solution over 40 require-
ments specifications drawn from the PURE dataset [1]. Our results indi-
cate that: (1) predictions made by BERT are highly eﬀective at pinpointing
terminology that is missing from requirements, and (2) our filter can sub-
stantially reduce noise from the predictions, thus making BERT a more
compelling aid for improving completeness in requirements."
41;"Establishing Traceability Between
Natural Language Requirements
and Software Artifacts by Combining
RAG and LLMs";Conceptual Modeling;2024;"Software Engineering aims to eﬀectively translate stakehold-
ers’ requirements into executable code to fulfill their needs. Traceability
from natural language use case requirements to classes in a UML class
diagram, subsequently translated into code implementation, is essen-
tial in systems development and maintenance. Tasks such as assess-
ing the impact of changes and enhancing software reusability require
a clear link between these requirements and their software implementa-
tion. However, establishing such links manually across extensive code-
bases is prohibitively challenging. Requirements, typically articulated in
natural language, embody semantics that clarify the purpose of the code-
base. Conventional traceability methods, relying on textual similarities
between requirements and code, often suﬀer from low precision due to
the semantic gap between high-level natural language requirements and
the syntactic nature of code. The advent of Large Language Models
(LLMs) provides new methods to address this challenge through their
advanced capability to interpret both natural language and code syn-
tax. Furthermore, representing code as a knowledge graph facilitates
the use of graph structural information to enhance traceability links.
This paper introduces an LLM-supported retrieval augmented generation
approach for enhancing requirements traceability to the class diagram
of the code, incorporating keyword, vector, and graph indexing tech-
niques, and their integrated application. We present a comparative anal-
ysis against conventional methods and among diﬀerent indexing strate-
gies and parameterizations on the performance. Our results demonstrate
how this methodology significantly improves the eﬃciency and accuracy
of establishing traceability links in software development processes."
42;"Goal Model Extraction from User Stories
Using Large Language Models";QUATIC;2024;"In agile software development, goal modeling is vital for
understanding the relationships among user stories, commonly used to
capture stakeholders’ needs. Manual construction of goal models faces
challenges, such as transforming lower-level user stories into higher-level
models and capturing implicit goals. This paper presents early research
proposing a technique using Large Language Models (LLMs), like GPT-
4, to automatically generate goal models from user stories. The approach
employs Iterative Prompt Engineering to guide the LLM in extracting
intentional elements and generating XML representations using the Goal-
oriented Requirements Language (GRL), visualized with the jUCMNav
tool. Our primitive qualitative evaluation indicates that GPT-4 can pro-
duce GRL models that are acceptable and understandable. Despite the
generic nature of LLM-generated models, there is a potential for their
use in requirements modeling, particularly in exposing soft goals not
immediately apparent to stakeholders new to the domain."
43;"Early Results of an AI Multiagent System
for Requirements Elicitation and Analysis";PROFES;2024;"In agile software development, user stories capture require-
ments from the user’s perspective, emphasizing their needs and each
feature’s value. Writing concise and quality user stories is necessary for
guiding software development. Alongside user story generation, priori-
tizing these requirements ensures that the most important features are
developed first, maximizing project value. This study explores the use of
Large Language Models (LLMs) to automate the process of user story
generation, quality assessment, and prioritization. We implemented a
multi-agent system using Generative Pre-trained Transformers (GPT),
specifically GPT-3.5 and GPT-4o, to generate and prioritize user sto-
ries from the initial project description. Our experiments on a real-world
project demonstrate that GPT-3.5 handled user story generation well,
achieving a higher semantic similarity score comnpared to the GPT-
4o. Both models showed consistent performance in prioritizing require-
ments, eﬀectively identifying the core features of the application. These
early results indicate that LLMs have significant potential for automat-
ing requirements analysis, particularly generating and prioritizing user
stories."
44;"ARIA-QA: AI-agent based requirements inspection and analysis
through question answering";ISSE;2024;"Due to their predominant use of natural language, requirements are prone to defects like inconsistency and incompleteness.
Consequently, quality assurance processes are commonly applied to requirements manually. However, manual execution of
these processes can be laborious and may inadvertently overlook critical quality issues due to time and budget constraints. This
paper introduces ARIA, an innovative question–answering (QA) approach designed to automate support for stakeholders,
including requirements engineers, during the analysis of NL requirements. The ability to ask questions and get immediate
answers is extremely useful in many quality assurance situations, especially for incompleteness detection. The challenge
of automating the answering of requirements-related questions is considerable, given the potential scope of the search for
answers extending beyond the provided requirements specification. To overcome this challenge, ARIA integrates support
for mining external domain knowledge resources like internet search results. Evaluation of seven diverse use cases drawn
from the PURE dataset demonstrates ARIA’s robustness and applicability across a range of real-life scenarios, highlighting
its potential to significantly improve the quality and effectiveness of requirements analysis processes. This work represents
one of the initial endeavors to seamlessly blend QA and external domain knowledge, effectively addressing complexities in
requirements engineering through a flexible framework designed to readily integrate with evolving, advanced-level Generative
LLMs."
45;"Can Large Language Models (LLMs) Compete
with Human Requirements
Reviewers? – Replication of an Inspection
Experiment on Requirements Documents";PROFES;2024;"The use of large language models (LLMs) for software engineering is
growing, especially for code - typically to generate code or to detect or fix quality
problems. Because requirements are often written in natural language, it seems
promising to exploit the capabilities of LLMs to detect requirement problems. We
replicated an inspection experiment in which computer science students searched
for defects in requirements documents using different reading techniques. In our
replication, we used the LLM GPT-4-Turbo instead of students to determine how
the model compares to human reviewers. Additionally, we considered GPT-3.5-
Turbo, Nous-Hermes-2-Mixtral-8x7B-DPO, and Phi-3-medium-128k-instruct for
one research question. We focus on single prompt approaches and avoid more
complex approaches to mimic the original study design where students received all
the material at once. We had two phases. First, we explored the general feasibility
of using LLMs for requirements inspection on a practice document and examined
different prompts. Second, we applied selected approaches to two requirements
documents and compared the approaches to each other and to human reviewers.
The approaches include variations in reading techniques (ad-hoc, perspective-
based, checklist-based), LLMs, the instructions, and material provided. We found
that LLMs (a) report only a limited number of deficits despite having enough
tokens, which (b) do not vary much across prompts. They (c) rarely match the
sample solution."
46;"Towards Taming Large Language Models
with Prompt Templates for Legal GRL
Modeling";BPMDS;2024;"The Legal Goal-oriented Requirements Language (Legal
GRL) is a promising conceptual modeling approach for supporting reg-
ulatory compliance analysis. Yet, despite early attempts at automation,
such Legal GRL models are still manually created, being time consum-
ing and error prone. Recent work has demonstrated how Large Language
Models can support the creation of conceptual models. Although showing
promise, the application scenarios for conceptual modeling are often lim-
ited to well structured, and scoped, scenarios. Dealing with practical, less
controlled, regulatory analyses, whereby often a particular actor or topic
needs to be pulled into focus, is an open issue. In this paper, we propose
using prompt templates to structure the process of using LLMs to create
a Legal GRL model from text. The core idea is that prompt templates are
created from state of the art prompt patterns, which can restrict LLM
output, can manage a LLM conversation context, and can structure a
LLM conversation. We report on an initial assessment of prompt tem-
plates on multiple law articles from the healthcare and energy community
domains. Our initial results are promising for Legal GRL modeling, but
at the same time show that caution is warranted."
47;"Could a Large Language Model Contribute
Significantly to Requirements Analysis?";BPMDS;2024;"This research-in-progress paper presents a quasi-experiment in which
three different ChatGPT-4 prompts (for system structure, analysis, and recommen-
dations) are applied in standard or augmented form to the work system in each of
three case studies (automated warehouses, ride hailing platforms, and medication
administration systems). The augmented forms (treatments) are based on different
sets of ideas. Each case study comprises 3000+ words. The prompts are detailed
requests for responses of up to 500 words related to three steps (system structure,
analysis, and recommendations) related to those cases. A null treatment serving
as a quasi-control uses standard prompts for each case without augmentation. The
first actual treatment is a revision of an analysis template used by MBA and EMBA
students; the other six are sets of questions based on activity theory, a BPM design
space, system principles, and three other approaches The research questions are
whether ChatGPT-4 can produce a useful first cut at system structure, analysis,
and recommendations and whether various augmentations of ChatGPT-4 prompts
improve or extend the outputs significantly"
48;"Generating Specifications from Requirements
Documents for Smart Devices Using Large
Language Models (LLMs)";HCII;2024;"The current contribution of artificial intelligence based Large Lan-
guage Models (LLMs) in supporting the requirements engineering and design
phase of software centered systems is analyzed. The application domain is focused
on smart devices and services for Ambient Assisted Living (AAL), e.g. pro-
grammable smartwatches. In the realm of AAL, programmable smartwatches
offer significant potential to support elderly users in their daily activities. How-
ever, developing applications for these devices is resource demanding, algorith-
mically difficult and requires careful consideration of various factors, including
user-specific needs (e.g. a diminished natural sensation of thirst) and technical
constraints (restricted computational power due to limited battery capacity). Our
approach first utilizes widespread LLMs like ChatGPT, BARD to automatically
interpret and enrich product concept catalogues, targeting at comprehensive, con-
sistent and tailored requirements specifications for the specific domain of appli-
cation. Secondly, we analyze in which extent LLMs today can contribute to the
original design phase by introducing suitable functional principles and reference
architectures for fulfilling the services specified as requirements including the
constraints on its operations. To demonstrate the challenges and perils of this app-
roach, we will detail the process using the specific use case of automatic drinking
detection and providing suitable advice for preventing dehydration for elderly
users. We will discuss and differentiate the principal strength of the approach
from its actual limitations by the presently available LLMs, which are expected
to increase and elaborate their generative capabilities rather frequently"
49;"An empirical study on LLM-based classification
of requirements-related provisions in food-safety regulations";ESE;2025;"As Industry 4.0 transforms the food industry, the role of software in achieving compliance with
food-safety regulations is becoming increasingly critical. Food-safety regulations, like those
in many legal domains, have largely been articulated in a technology-independent manner to
ensure their longevity and broad applicability. However, this approach leaves a gap between
the regulations and the modern systems and software increasingly used to implement them. In
this article, we pursue two main goals. First, we conduct a Grounded Theory study of food-
safety regulations and develop a conceptual characterization of food-safety concepts that
closely relate to systems and software requirements. Second, we examine the effectiveness
of two families of large language models (LLMs) – BERT and GPT – in automatically
classifying legal provisions based on requirements-related food-safety concepts. Our results
show that: (a) when fine-tuned, the accuracy differences between the best-performing models
in the BERT and GPT families are relatively small. Nevertheless, the most powerful model
in our experiments, GPT-4o, still achieves the highest accuracy, with an average Precision
of 89% and an average Recall of 87%; (b) few-shot learning with GPT-4o increases Recall
to 97% but decreases Precision to 65%, suggesting a trade-off between fine-tuning and few-
shot learning; (c) despite our training examples being drawn exclusively from Canadian
regulations, LLM-based classification performs consistently well on test provisions from the
US, indicating a degree of generalizability across regulatory jurisdictions; and (d) for our
classification task, LLMs significantly outperform simpler baselines constructed using long
short-term memory (LSTM) networks and automatic keyword extraction."
50;"PassionNet: An Innovative Framework for
Duplicate and Conflicting Requirements
Identification";Arxiv;2024;"Early detection and resolution of duplicate and conflicting requirements
can significantly enhance project e!ciency and overall software qual-
ity. Researchers have developed various computational predictors by
leveraging Artificial Intelligence (AI) potential to detect duplicate and
conflicting requirements. However, these predictors lack in performance
and requires more e""ective approaches to empower software development
processes. Following the need of a unique predictor that can accurately
identify duplicate and conflicting requirements, this research o""ers a
comprehensive framework that facilitate development of 3 di""erent types
of predictive pipelines: language models based, multi-model similarity
knowledge-driven and large language models (LLMs) context + multi-
model similarity knowledge-driven. Within first type predictive pipelines
landscape, framework facilitates conflicting/duplicate requirements iden-
tification by leveraging 8 distinct types of LLMs. In second type, frame-
work supports development of predictive pipelines that leverage multi-
scale and multi-model similarity knowledge, ranging from traditional
similarity computation methods to advanced similarity vectors gener-
ated by LLMs. In the third type, the framework synthesizes predictive
pipelines by integrating contextual insights from LLMs with multi-model
similarity knowledge. Across 6 public benchmark datasets, extensive
testing of 760 distinct predictive pipelines including 8 standalone LLM-
based, 112 similarity knowledge-Driven, and 640 hybrid LLM contextual
and similarity Knowledge-Driven demonstrates that hybrid predictive
pipelines consistently outperforms other two types predictive pipelines in
accurately identifying duplicate and conflicting requirements. This pre-
dictive pipeline outperformed existing state-of-the-art predictors perfor-
mance with an overall performance margin of 13% in terms of F1-score."
51;"LePB-SA4RE: A Lexicon-Enhanced and Prompt-Tuning BERT
Model for Evolving Requirements Elicitation from App Reviews";MDPI;2025;"Pre-trained language models with fine-tuning (FT) have achieved notable success
in aspect-based sentiment analysis (ABSA) for automatic requirements elicitation from app
reviews. However, the fixed parameters during FT progress often face challenges when
applied to low-resource and noisy app review scenarios. Although prompt-tuning (PT) has
gained attention in ABSA for its flexibility and adaptability, this improved performance
can sometimes reduce the generalization and robustness of pre-trained models. To mitigate
these issues, this study introduces LePB-SA4RE, a novel ABSA model that integrates
the Bidirectional Encoder Representations from Transformers (BERT) architecture with a
hard template-based PT method and embeds a lexicon-enhanced dynamic modulation
layer. Specifically, the activation function of this layer incorporates weights designed
with sentiment-oriented dynamic parameters to enhance the sensitivity of the model to
diverse sentiment inputs, and a sentiment lexicon containing three hundred thousand word–
sentiment polarity pairs is embedded into the model as additional semantic cues to increase
prediction accuracy. The model retains the stability benefits of Hard-prompt methods while
increasing the flexibility and adaptability necessary for ABSA in requirements elicitation
from app reviews. Experimental results indicate that the proposed method surpasses state-
of-the-art methods on the benchmark datasets, and the generalization of the model achieved
the highest relative improvements of 72% and 36.6% under low-resource data settings and
simulated noisy conditions. These promising findings suggest that LePB-SA4RE has the
potential to provide an effective requirements elicitation solution for user-centric software
evolution and maintenance."
52;"Evaluating Generative Language Models with
Prompt Engineering for Categorizing User Stories
to its Sector Domains";I2CT;2024;"In Agile software development, user stories capture
requirements through a concise, user-centric approach. Manual
categorization of these stories is both labor-intensive and error-
prone. This study addresses the gap in existing research by
exploring the application of generative language models, specifi-
cally GPT-style models, with prompt engineering for user story
categorization.
Our research introduces experiments utilizing two genera-
tive language models, gpt-3.5-turbo and Llama-2-chat-hf, em-
phasizing innovative prompt engineering. The evaluation of
gpt-3.5-turbo and Llama-2-chat-hf demonstrates commendable
performance in zero-shot experiments. Notably, gpt-3.5-turbo
outperforms in few-shot prompting with a higher F-score of
67.93%. The gpt-3.5-turbo showcased superior compliance with
instructions compared to Llama-2-chat-hf. The study underscores
the promising capability of generative language models, with
prompt engineering, to automate user story categorization ef-
fectively.
This work contributes to the potential of automating user
story categorization in low-resource settings, showcasing how
leveraging LLMs can enhance accuracy and streamline the cat-
egorization process in software development, ultimately leading
to more efficient outcomes."
